brand_id,brand::ar,brand::en,brand_info_story::ar,brand_info_story::en,branded_vs_private_label,brand_owner::en,is_valid,brand_owner::ar,brand_owner::ku,brand::ku,brand_info_story::ku,brand_type::en
al_ahram,Al Ahram,Al Ahram,,,,AL AHRAM,True,,,,,
al_ain,Al Ain,Al Ain,,,,Agthia,True,,,,,
al_ajamy,Al Ajamy,Al Ajamy,,,,AL AJAMY,True,,,,,
al_alali,Al Alali,Al Alali,,,,AL ALALI,True,,,,,
al_ameed,Al Ameed,Al Ameed,,,,AL AMEED,True,,,,,
al_amira,Al Amira,Al Amira,,,,Best Food Company,True,,,,,
al_arabi,Al Arabi,Al Arabi,,,,Savola,True,,,,,
al_areesh,Al Areesh,Al Areesh,,,,AL AREESH,True,,,,,
al_arz,Al Arz,Al Arz,,,,AL ARZ,True,,,,,
al_baker,Al Baker,Al Baker,,,,IFFCO,True,,,,,
al_batal,Al Batal,Al Batal,,,,AL BATAL,True,,,,,
al_bayader,Al Bayader,Al Bayader,,,,AL BAYADER,True,,,,,
al_bayan,Al Bayan,Al Bayan,,,,AL BAYAN,True,,,,,
al_deera,Al Deera,Al Deera,,,,AL DEERA,True,,,,,
al_doha,Al Doha,Al Doha,,,,AL DOHA,True,,,,,
al_fakher,Al Fakher,Al Fakher,,,,AL FAKHER,True,,,,,
al_faysal,Al Faysal,Al Faysal,,,,AL FAYSAL,True,,,,,
al_hana,Al Hana,Al Hana,,,,AL HANA,True,,,,,
al_hazaa,Al Hazaa,Al Hazaa,,,,Al Hazaa Group,True,,,,,
al_homaizi,Al Homaizi,Al Homaizi,,,,Al Homaizi,True,,,,,
al_islami,Al Islami,Al Islami,,,,Al Islami Foods,True,,,,,
al_jabri,Al Jabri,Al Jabri,,,,AL JABRI,True,,,,,
al_jassar,Al Jassar,Al Jassar,,,,AL JASSAR,True,,,,,
al_jazira,Al Jazira,Al Jazira,,,,AL JAZIRA,True,,,,,
al_jisr,Al Jisr,Al Jisr,,,,AL JISR,True,,,,,
al_kabeer,Al Kabeer,Al Kabeer,,,,AL KABEER,True,,,,,
al_kanana,Al kanana,Al kanana,,,,AL KANANA,True,,,,,
al_khair,Al Khair,Al Khair,,,,AL KHAIR,True,,,,,
al_khaleejia,Al Khaleejia,Al Khaleejia,,,,AL KHALEEJIA,True,,,,,
al_khayam,Al Khayam,Al Khayam,,,,AL KHAYAM,True,,,,,
al_khazna,Al Khazna,Al Khazna,,,,IFFCO,True,,,,,
al_kifah,Al Kifah,Al Kifah,,,,AL KIFAH,True,,,,,
al_madina,Al Madina,Al Madina,,,,AL MADINA,True,,,,,
al_maha,Al Maha,Al Maha,,,,AL MAHA,True,,,,,
al_marwa,Al Marwa,Al Marwa,,,,AL MARWA,True,,,,,
al_mawashi,Al Mawashi,Al Mawashi,,,,AL MAWASHI,True,,,,,
al_mazraa,Al Mazraa,Al Mazraa,,,,Americana,True,,,,,
al_mouneh,Al Mouneh,Al Mouneh,,,,AL MOUNEH,True,,,,,
al_munayes,Al Munayes,Al Munayes,,,,AL MUNAYES,True,,,,,
al_nakhla,Al Nakhla,Al Nakhla,,,,AL NAKHLA,True,,,,,
al_nasr,Al Nasr,Al Nasr,,,,AL NASR,True,,,,,
al_nimran,Al Nimran,Al Nimran,,,,Al Nimran,True,,,,,
al_osra,Al Osra,Al Osra,,,,Al Seer,True,Al Seer,,,,
al_owaid,Al Owaid,Al Owaid,,,,AL OWAID,True,,,,,
al_rabie,Al Rabie,Al Rabie,,,,AL RABIE,True,,,,,
al_rabih,Al Rabih,Al Rabih,,,,AL RABIH,True,,,,,
al_raha,Al Raha,Al Raha,,,,AL RAHA,True,,,,,
al_rashaka,Al Rashaka,Al Rashaka,,,,AL RASHAKA,True,,,,,
al_rawabi,Al Rawabi,Al Rawabi,,,,AL RAWABI,True,,,,,
al_rawdah,Al Rawdah,Al Rawdah,,,,AL RAWDAH,True,,,,,
al_rawdatain,Al Rawdatain,Al Rawdatain,,,,AL RAWDATAIN,True,,,,,
al_rifai,Al Rifai,Al Rifai,,,,Al Rifai,True,,,,,
al_safwa,Al Safwa,Al Safwa,,,,AL SAFWA,True,,,,,
al_salam,Al Salam,Al Salam,,,,Al Islami,True,,,,,
al_sanea,Al Sanea,Al Sanea,,,,AL SANEA,True,,,,,
al_sayyad,Al Sayyad,Al Sayyad,,,,AL SAYYAD,True,,,,,
al_seedawi,Al Seedawi,Al-Seedawi,,,,AL-SEEDAWI,True,,,,,
al_shaheen,Al Shaheen,Al Shaheen,,,,AL SHAHEEN,True,,,,,
al_shifa,Al Shifa,Al Shifa,,,,Al Sunbulah,False,,,,,
al_sultan_bakery,Al Sultan Bakery,Al Sultan Bakery,,,,Al Sultan Bakery,True,,,,,
al_taghziah,Al Taghziah,Al Taghziah,,,,AL TAGHZIAH,True,,,,,
al_taiyeb,Al Taiyeb,Al Taiyeb,,,,Al Taiyeb,True,,,,,
al_tawah,Al Tawah,Al Tawah,,,,AL TAWAH,True,,,,,
al_tuhoo,Al Tuhoo,Al Tuhoo,,,,AL TUHOO,True,,,,,
al_wadi_al_akhdar,Al Wadi Al Akhdar,Al Wadi Al Akhdar,,,,AL WADI AL AKHDAR,True,,,,,
al_wafra,Al Wafra,Al Wafra,,,,AL WAFRA,True,,,,,
al_waha,Al Waha,Al Waha,,,,AL WAHA,True,,,,,
al_walima,Al Walima,Al Walima,,,,AL WALIMA,True,,,,,
al_wazir,Al Wazir,Al Wazir,,,,AL WAZIR,True,,,,,
al_wisam,Al Wisam,Al Wisam,,,,AL WISAM,True,,,,,
al_zawaq,Al Zawaq,Al Zawaq,,,,AL ZAWAQ,True,,,,,
al_darwaza,Al-Darwaza,Al-Darwaza,,,,,True,,,,,
al_fajr,Al Fajr,Al Fajr,,,,AL FAJR,True,,,,,
al_juneidi,Al Juneidi,Al Juneidi,,,,AL JUNEIDI,True,,,,,
al_kbous,Al-Kbous,Al-Kbous,,,,AL-KBOUS,True,,,,,
alajeeb,ALAJEEB,ALAJEEB,,,,ALAJEEB,True,,,,,
alanzo,Alanzo,Alanzo,,,,Alanzo,True,,,,,
alasature,Alasature,Alasature,,,,ALASATURE,True,,,,,
alaska,Alaska,Alaska,,,,ALASKA,True,,,,,
alattar,Alattar,Alattar,,,,ALATTAR,True,,,,,
aldaiaa,aldaiaa,aldaiaa,,,,ALDAIAA,True,,,,,
aldiva,Aldiva,Aldiva,,,,ALDIVA,True,,,,,
alef,Alef,Alef,,,,ALEF,True,,,,,
aleva_naturals,Aleva Naturals,Aleva Naturals,,,,ALEVA NATURALS,True,,,,,
alexandros,Alexandros,Alexandros,,,,Alexandros,True,,,,,
alfa,Alfa,Alfa,,,,,True,,,,,
alfakhir,Alfakhir,Alfakhir,,,,ALFAKHIR,True,,,,,
alfonso_s,Alfonso's,Alfonso's,,,,ALFONSO'S,True,,,,,
algida,Algida,Algida,,,,Unilever,True,,,,,
algon,Algon,Algon,,,,Algon,True,,,,,
aling_conching,Aling Conching,Aling Conching,,,,ALING CONCHING,True,,,,,
alitea,Alitea,Alitea,,,,ALITEA,True,,,,,
alkaramah,Alkaramah,Alkaramah,,,,ALKARAMAH,True,,,,,
all_day,All Day,All Day,,,,ALL DAY,True,,,,,
allana,Allana,Allana,,,,Allana,True,,,,,
almarai,Almarai,Almarai,,,,Almarai,True,,,,,
almas,Almas,Almas,,,,ALMAS,True,,,,,
almasa,Almasa,Almasa,,,,ALMASA,True,,,,,
almonday,Almonday,Almonday,,,,ALMONDAY,True,,,,,
almosafer,Almosafer,Almosafer,,,,ALMOSAFER,True,,,,,
aloe_dream,Aloe Dream,Aloe Dream,,,,ALOE DREAM,True,,,,,
aloe_eva,Aloe Eva,Aloe Eva,,,,ALOE EVA,True,,,,,
aloe_vera_cubes,Aloe Vera Cubes,Aloe Vera Cubes,,,,ALOE VERA CUBES,True,,,,,
alokozay,Alokozay,Alokozay,,,,ALOKOZAY,True,,,,,
alomda,Alomda,Alomda,,,,ALOMDA,True,,,,,
alpella,Alpella,Alpella,,,,ALPELLA,True,,,,,
alpen,Alpen,Alpen,,,,ALPEN,True,,,,,
alpenliebe,Alpenliebe,Alpenliebe,,,,Perfetti Van Melle,True,Perfetti Van Melle,,,,
alpi_fresh,Alpi Fresh,Alpi Fresh,,,,ALPI FRESH,True,,,,,
alpin,Alpin,Alpin,,,,Agthia,True,,,,,
alpro,Alpro,Alpro,,,,Danone,True,,,,,
alqaem,Alqaem,Alqaem,,,,ALQAEM,True,,,,,
alter_eco,Alter Eco,Alter Eco,,,,ALTER ECO,True,,,,,
althaus,Althaus,Althaus,,,,Althaus Tea,True,,,,,
altimate,Altimate,Altimate,,,,ALTIMATE,True,,,,,
altis,Altis,Altis,,,,Altis,True,,,,,
altivo,Altivo,Altivo,,,,ALTIVO,True,,,,,
alvien,Alvien,Alvien,,,,ALVIEN,True,,,,,
alwafie,Alwafie,Alwafie,,,,Alwafie,True,,,,,
alwalimah,Alwalimah,Alwalimah,,,,Savola,True,,,,,
always,Always,Always,,,,P&G,True,,,,,
alwazah,Alwazah,Alwazah,,,,ALWAZAH,True,,,,,
aly,Aly,Aly,,,,ALY,True,,,,,
alyoum,Alyoum,Alyoum,,,,Almarai,True,,,,,
alyssa_ashley,Alyssa Ashley,Alyssa Ashley,,,,ALYSSA ASHLEY,True,,,,,
amada,Amada,Amada,,,,AMADA,True,,,,,
amadori,Amadori,Amadori,,,,AMADORI,True,,,,,
amara,Amara,Amara,,,,AMARA,True,,,,,
ambi_pur,Ambi Pur,Ambi Pur,,,,P&G,True,,,,,
ambika_appalam_depot,Ambika Appalam Depot,Ambika Appalam Depot,,,,AMBIKA APPALAM DEPOT,True,,,,,
ambreeze,Ambreeze,Ambreeze,,,,AMBREEZE,True,,,,,
amd,Amd,Amd,,,,AMD,True,,,,,
amefa,Amefa,Amefa,,,,AMEFA,True,,,,,
america_s_choice,America's Choice,America's Choice,,,,AMERICA'S CHOICE,True,,,,,
american_classic,American Classic,American Classic,,,,AMERICAN CLASSIC,True,,,,,
american_garden,American Garden,American Garden,,,,American Garden,True,,,,,
american_gourmet,American Gourmet,American Gourmet,,,,AMERICAN GOURMET,True,,,,,
american_harvest,American Harvest,American Harvest,,,,AMERICAN HARVEST,True,,,,,
american_heritage,American Heritage,American Heritage,,,,AMERICAN HERITAGE,True,,,,,
american_king,American King,American King,,,,AMERICAN KING,True,,,,,
american_kitchen,American Kitchen,American Kitchen,,,,AMERICAN KITCHEN,True,,,,,
american_tourister,American Tourister,American Tourister,,,,Samsonite,True,,,,,
americana,Americana,Americana,,,,Americana,True,,,,,
amexicana,Amexicana,Amexicana,,,,AMEXICANA,True,,,,,
amigo,Amigo,Amigo,,,,AMIGO,True,,,,,
amino_go,Amino Go,Amino Go,,,,AMINO GO,True,,,,,
amino_pro,Amino Pro,Amino Pro,,,,AMINO PRO,True,,,,,
amino_vibe,Amino Vibe,Amino Vibe,,,,Santes Nutrition,True,,,,,
amir_s,Amir's,Amir's,,,,AMIR'S,True,,,,,
amiral,Amiral,Amiral,,,,AMIRAL,True,,,,,
amki,Amki,Amki,,,,,True,,,,,
amoy,Amoy,Amoy,,,,AMOY,True,,,,,
amroon,Amroon,Amroon,,,,AMROON,True,,,,,
amrutanjan,Amrutanjan,Amrutanjan,,,,AMRUTANJAN,True,,,,,
amstel,Amstel,Amstel,,,,Heineken,True,,,,,
amul,Amul,Amul,,,,Amul,True,,,,,
anchor,Anchor,Anchor,,,,,True,,,,,
anchor_hocking,Anchor Hocking,Anchor Hocking,,,,ANCHOR HOCKING,True,,,,,
andros,Andros,Andros,,,,Andros,True,,,,,
angel,Angel,Angel,,,,,True,,,,,
angry_birds,Angry Birds,Angry Birds,,,,ANGRY BIRDS,True,,,,,
angry_mills,Angry Mills,Angry Mills,,,,Sinister Labs,True,,,,,
ani,Ani,Ani,,,,ANI,True,,,,,
animal_bar,animal bar,animal bar,,,,Nestle,True,,,,,
anker,Anker,Anker,,,,Anker,True,,,,,
anlene,Anlene,Anlene,,,,Al Seer,True,Al Seer,,,,
anmol,Anmol,Anmol,,,,ANMOL,True,,,,,
anna_faggio,Anna Faggio,Anna Faggio,,,,ANNA FAGGIO,True,,,,,
annie_chun_s,Annie Chun's,Annie Chun's,,,,ANNIE CHUN'S,True,,,,,
annie_s,Annie's,Annie's,,,,General Mills,True,,,,,
ansell,Ansell,Ansell,,,,Ansell,True,,,,,
antar,Antar,Antar,,,,ANTAR,True,,,,,
antonio_amato,Antonio Amato,Antonio Amato,,,,ANTONIO AMATO,True,,,,,
aoun,Aoun,Aoun,,,,AOUN,True,,,,,
aparan,Aparan,Aparan,,,,APARAN,True,,,,,
apg,APG,APG,,,,APG,True,,,,,
apollo,Apollo,Apollo,,,,APOLLO,True,,,,,
applaws,Applaws,Applaws,,,,APPLAWS,True,,,,,
appletiser,Appletiser,Appletiser,,,,Coca-Cola,True,,,,,
applied_nutrition,Applied Nutrition,Applied Nutrition,,,,APPLIED NUTRITION,True,,,,,
aptamil,Aptamil,Aptamil,,,,Danone Nutrition,True,,,,,
aqua_coco,Aqua Coco,Aqua Coco,,,,AQUA COCO,True,,,,,
aqua_cool,Aqua Cool,Aqua Cool,,,,AQUA COOL,True,,,,,
aqua_de_fonte,Aqua De Fonte,Aqua De Fonte,,,,Aqua De Fonte,True,,,,,
aqua_dino,Aqua Dino,Aqua Dino,,,,Aqua Dino,True,,,,,
aqua_eva,Aqua Eva,Aqua Eva,,,,AQUA EVA,True,,,,,
aqua_fresh,Aqua Fresh,Aqua Fresh,,,,Aqua Fresh,True,,,,,
aqua_gulf,Aqua Gulf,Aqua Gulf,,,,AQUA GULF,True,,,,,
aqua_massage,Aqua Massage,Aqua Massage,,,,AQUA MASSAGE,True,,,,,
aqua_vera,Aqua Vera,Aqua Vera,,,,AQUA VERA,True,,,,,
aqua_verde,Aqua Verde,Aqua Verde,,,,Aqua Verde,True,,,,,
aqua_wipes,Aqua Wipes,Aqua Wipes,,,,AQUA WIPES,True,,,,,
aquafina,Aquafina,Aquafina,,,,Pepsico,True,,,,,
aquella,Aquella,Aquella,,,,AQUELLA,True,,,,,
ara,Ara,Ara,,,,Ara,True,,,,,
arabica,Arabica,Arabica,,,,ARABICA,True,,,,,
araliya,Araliya,Araliya,,,,ARALIYA,True,,,,,
aramis,Aramis,Aramis,,,,Estee Lauder,True,,,,,
arbequina,Arbequina,Arbequina,,,,ARBEQUINA,True,,,,,
arche,Arche,Arche,,,,ARCHE,True,,,,,
arcor,Arcor,Arcor,,,,ARCOR,True,,,,,
arctic_gold,Arctic Gold,Arctic Gold,,,,ARCTIC GOLD,True,,,,,
ardell,Ardell,Ardell,,,,Ardell,True,,,,,
areej,Areej,Areej,,,,AREEJ,True,,,,,
argan,Argan,Argan,,,,ARGAN,True,,,,,
argentina,Argentina,Argentina,,,,ARGENTINA,True,,,,,
ariel,Ariel,Ariel,,,,P&G,True,,,,,
arix,Arix,Arix,,,,ARIX,True,,,,,
arizona,Arizona,Arizona,,,,ARIZONA,True,,,,,
arkadia,Arkadia,Arkadia,,,,ARKADIA,True,,,,,
arkan,Arkan,Arkan,,,,ARKAN,True,,,,,
arko,Arko,Arko,,,,Farmasi Cosmetics,True,,,,,
arla,Arla,Arla,,,,Arla,True,,,,,
arlequin,Arlequin,Arlequin,,,,ARLEQUIN,True,,,,,
arluy,Arluy,Arluy,,,,Arluy,True,,,,,
armor_all,Armor All,Armor All,,,,Spectrum,True,,,,,
arnika,Arnika,Arnika,,,,Arnika,True,,,,,
arnott_s,Arnott's,Arnott's,,,,Arnott's,True,,,,,
arogya,Arogya,Arogya,,,,AROGYA,True,,,,,
aroma,Aroma,Aroma,,,,AROMA,True,,,,,
aroy_d,Aroy-D,Aroy-D,,,,AROY-D,True,,,,,
arrowhead_mills,Arrowhead Mills,Arrowhead Mills,,,,ARROWHEAD MILLS,True,,,,,
artex,Artex,Artex,,,,ARTEX,True,,,,,
aruba,Aruba,Aruba,,,,ARUBA,True,,,,,
arwa,Arwa,Arwa,,,,Coca-Cola,True,,,,,
arzco,Arzco,Arzco,,,,ARZCO,True,,,,,
ascorbic,Ascorbic,Ascorbic,,,,ASCORBIC,True,,,,,
aseel,Aseel,Aseel,,,,Savola,True,,,,,
asha_s,Asha's,Asha's,,,,ASHA'S,True,,,,,
ashoka,Ashoka,Ashoka,,,,ASHOKA,True,,,,,
askeys,Askeys,Askeys,,,,Askeys,True,,,,,
asmak,Asmak,Asmak,,,,ASMAK,True,,,,,
aspirin,Aspirin,Aspirin,,,,Bayer,True,,,,,
astera,Astera,Astera,,,,ASTERA,True,,,,,
astor,Astor,Astor,,,,ASTOR,True,,,,,
astra,Astra,Astra,,,,ASTRA,True,,,,,
astro,Astro,Astro,,,,ASTRO,True,,,,,
astroglide,Astroglide,Astroglide,,,,Biovail,True,,,,,
asturi,Asturi,Asturi,,,,ASTURI,True,,,,,
aswaaq,Aswaaq,Aswaaq,,,,ASWAAQ,True,,,,,
atkins,Atkins,Atkins,,,,ATKINS,True,,,,,
atlantis,Atlantis,Atlantis,,,,ATLANTIS,True,,,,,
attooni,Attooni,Attooni,,,,ATTOONI,True,,,,,
auer,Auer,Auer,,,,AUER,True,,,,,
auga,Auga,Auga,,,,AUGA,True,,,,,
augustin_s,Augustin's,Augustin's,,,,AUGUSTIN'S,True,,,,,
aunt_jemima,Aunt Jemima,Aunt Jemima,,,,Quaker Oats Company,True,,,,,
aura,Aura,Aura,,,,AURA,True,,,,,
aurora,Aurora,Aurora,,,,AURORA,True,,,,,
ausome,Ausome,Ausome,,,,AUSOME,True,,,,,
aussie,Aussie,Aussie,,,,P&G,True,,,,,
austalia_s_own,Austalia's Own,Austalia's Own,,,,AUSTALIA'S OWN,True,,,,,
avaitor,Avaitor,Avaitor,,,,AVAITOR,True,,,,,
avalon,Avalon,Avalon,,,,AVALON PHARMA,True,,,,,
avanti,Avanti,Avanti,,,,AVANTI,True,,,,,
aveeno,Aveeno,Aveeno,,,,Kenvue,True,,,,,
aviko,Aviko,Aviko,,,,Royal Cosun,True,,,,,
awal,Awal,Awal,,,,AWAL,True,,,,,
axe,Axe,Axe,,,,Unilever,True,,,,,
aycafe,Aycafe,Aycafe,,,,AYCAFE,True,,,,,
azbane,Azbane,Azbane,,,,Azbane,True,,,,,
aziz,Aziz,Aziz,,,,AZIZ,True,,,,,
aztec_secret,Aztec Secret,Aztec Secret,,,,AZTEC SECRET,True,,,,,
azzaro,Azzaro,Azzaro,,,,L'Oreal LD,True,,,,,
b_pop,B Pop,B Pop,,,,B POP,True,,,,,
b_live,B-Live,B-Live,,,,B-Live,True,,,,,
b_safe,B-Safe,B-Safe,,,,B-SAFE,True,,,,,
b_cool,B.Cool,B.Cool,,,,B.COOL,True,,,,,
bab_al_hind,Bab Al-hind,Bab Al-hind,,,,BAB AL-HIND,True,,,,,
baby_bell,Baby Bell,Baby Bell,,,,Bel Group,False,,,,,
baby_bellies,Baby Bellies,Baby Bellies,,,,Baby Bellies,True,,,,,
baby_foot,Baby Foot,Baby Foot,,,,BABY FOOT,True,,,,,
babybel,Babybel,Babybel,,,,Bel Group,True,,,,,
babyjoy,BabyJoy,BabyJoy,,,,BABYJOY,True,,,,,
babyliss,Babyliss,Babyliss,,,,BABYLISS,True,,,,,
babymama,Babymama,Babymama,,,,Babymama,True,,,,,
bachkovo,Bachkovo,Bachkovo,,,,Bachkovo,True,,,,,
backaldin,Backaldin,Backaldin,,,,Backaldin,True,,,,,
baco,Baco,Baco,,,,BACO,True,,,,,
bacofoil,Bacofoil,Bacofoil,,,,BACOFOIL,True,,,,,
badoit,Badoit,Badoit,,,,Danone,True,,,,,
badshah,Badshah,Badshah,,,,Dabur,True,Dabur,,,,
bahar,Bahar,Bahar,,,,BAHAR,True,,,,,
bahlsen,Bahlsen,Bahlsen,,,,Bahlsen,True,,,,,
baida,Baida,Baida,,,,BAIDA,True,,,,,
baidar,Baidar,Baidar,,,,BAIDAR,True,,,,,
baide,Baide,Baide,,,,BAIDE,True,,,,,
baikal,Baikal,Baikal,,,,Baikal,True,,,,,
bairds,Bairds,Bairds,,,,BAIRDS,True,,,,,
bait_almarshoud,Bait Almarshoud,Bait Almarshoud,,,,Bait Almarshoud,True,,,,,
baja,Baja,Baja,,,,Baja,True,,,,,
bajaj,Bajaj,Bajaj,,,,BAJAJ,True,,,,,
bakalland,Bakalland,Bakalland,,,,BAKALLAND,True,,,,,
baked_in_brooklyn,Baked In Brooklyn,Baked In Brooklyn,,,,BAKED IN BROOKLYN,True,,,,,
bakeman_s,Bakeman's,Bakeman's,,,,BAKEMAN'S,True,,,,,
baker_s,Baker's,Baker's,,,,,True,,,,,
bakers_joy,Bakers Joy,Bakers Joy,,,,BAKERS JOY,True,,,,,
bakers_world,Bakers World,Bakers World,,,,BAKERS WORLD,True,,,,,
bakhoor,Bakhoor,Bakhoor,,,,BAKHOOR,True,,,,,
balade,Balade,Balade,,,,BALADE,True,,,,,
balaji,Balaji,Balaji,,,,BALAJI,True,,,,,
balance,Balance,Balance,,,,BALANCE,True,,,,,
balconi,Balconi,Balconi,,,,BALCONI,True,,,,,
balila,Balila,Balila,,,,Balila,True,,,,,
balkan,Balkan,Balkan,,,,Balkan,True,,,,,
balla3_albaiza_game,Balla3 Albaiza Game,Balla3 Albaiza Game,,,,BALLA3 ALBAIZA GAME,True,,,,,
ballarini,Ballarini,Ballarini,,,,BALLARINI,True,,,,,
balocco,Balocco,Balocco,,,,BALOCCO,True,,,,,
bambi,Bambi,Bambi,,,,,True,,,,,
bambino_care,Bambino Care,Bambino Care,,,,BAMBINO CARE,True,,,,,
banana_boat,Banana Boat,Banana Boat,,,,Edgewell,True,,,,,
banana_joe,Banana Joe,Banana Joe,,,,BANANA JOE,True,,,,,
banat,Banat,Banat,,,,BANAT,True,,,,,
banbao,Banbao,Banbao,,,,BANBAO,True,,,,,
band_aid,Band-Aid,Band-Aid,,,,Johnson & Johnson,True,,,,,
banetti,Banetti,Banetti,,,,BANETTI,True,,,,,
bang,Bang,Bang,,,,VPX Sports,True,,,,,
banvit,Banvit,Banvit,,,,BANVIT,True,,,,,
barada,Barada,Barada,,,,BARADA,True,,,,,
barak,Barak,Barak,,,,Barak,True,,,,,
baraka_dates,Baraka Dates,Baraka Dates,,,,BARAKA DATES,True,,,,,
barakat,Barakat,Barakat,,,,Barakat,True,,,,,
barbarian,Barbarian,Barbarian,,,,BARBARIAN,True,,,,,
barbera,Barbera,Barbera,,,,BARBERA,True,,,,,
barbican,Barbican,Barbican,,,,BARBICAN,True,,,,,
barbie,Barbie,Barbie,,,,Mattel,True,,,,,
barcel_takis,Barcel Takis,Barcel Takis,,,,BARCEL TAKIS,True,,,,,
bardhaman_rose,Bardhaman Rose,Bardhaman Rose,,,,BARDHAMAN ROSE,True,,,,,
bare,Bare,Bare,,,,,True,,,,,
barebells,Barebells,Barebells,,,,BAREBELLS,True,,,,,
